nivel;campanha;conjunto;anuncio;recorte;segmento;id;status;status_entrega;objetivo;otimizacao;estrategia_lance;orcamento_diario_brl;investimento_brl;alcance;impressoes;frequencia;cpm_brl;cliques_todos;cliques_no_link;cliques_saida;cliques_link_unicos;ctr_pct;cpc_brl;cpc_link_brl;visitas_perfil_ig;custo_por_visita_brl;seguidores_atribuidos_ig;custo_por_seguidor_brl;taxa_visita_para_seguidor_pct;visualizacoes_pagina_destino;engajamento_publicacao;reacoes;comentarios;compartilhamentos;salvamentos;reproducoes_video;video_25pct;video_50pct;video_75pct;video_95pct;video_100pct;thruplays;tempo_medio_video_seg;hook_rate_25pct_sobre_plays_pct;conclusao_100pct_sobre_plays_pct;fonte
campanha;Fase 1 - [O7][DISTR];;;faixa etaria;25-34;;;;;;;;4,15;178;191;;;11;;;;5,76;0,3773;;3;1,3833;nao disponivel neste recorte;;;;;;;;;;;;;;;;;;;MCP ads_get_ad_entities
campanha;Fase 1 - [O7][DISTR];;;faixa etaria;35-44;;;;;;;;8,32;189;206;;;23;;;;11,17;0,3617;;7;1,1886;nao disponivel neste recorte;;;;;;;;;;;;;;;;;;;MCP ads_get_ad_entities
campanha;Fase 1 - [O7][DISTR];;;faixa etaria;45-54;;;;;;;;11,09;303;318;;;22;;;;6,92;0,5041;;11;1,0082;nao disponivel neste recorte;;;;;;;;;;;;;;;;;;;MCP ads_get_ad_entities
campanha;Fase 1 - [O7][DISTR];;;faixa etaria;55-64;;;;;;;;14,86;481;520;;;40;;;;7,69;0,3715;;22;0,6755;nao disponivel neste recorte;;;;;;;;;;;;;;;;;;;MCP ads_get_ad_entities
campanha;Fase 1 - [O7][DISTR];;;faixa etaria;65+;;;;;;;;16,97;441;471;;;59;;;;12,53;0,2876;;38;0,4466;nao disponivel neste recorte;;;;;;;;;;;;;;;;;;;MCP ads_get_ad_entities
campanha;Fase 1 - [O7][DISTR];;;faixa etaria;Desconhecida;;;;;;;;0,00;0;0;;;0;;;;;;;1;0,0000;nao disponivel neste recorte;;;;;;;;;;;;;;;;;;;MCP ads_get_ad_entities
campanha;Fase 2 - [O7][DISTR];;;faixa etaria;18-24;;;;;;;;0,24;13;13;;;1;;;;7,69;0,2400;;0;;nao disponivel neste recorte;;;;;;;;;;;;;;;;;;;MCP ads_get_ad_entities
campanha;Fase 2 - [O7][DISTR];;;faixa etaria;25-34;;;;;;;;4,24;53;55;;;7;;;;12,73;0,6057;;5;0,8480;nao disponivel neste recorte;;;;;;;;;;;;;;;;;;;MCP ads_get_ad_entities
campanha;Fase 2 - [O7][DISTR];;;faixa etaria;35-44;;;;;;;;2,93;75;83;;;6;;;;7,23;0,4883;;2;1,4650;nao disponivel neste recorte;;;;;;;;;;;;;;;;;;;MCP ads_get_ad_entities
campanha;Fase 2 - [O7][DISTR];;;faixa etaria;45-54;;;;;;;;9,23;335;356;;;28;;;;7,87;0,3296;;19;0,4858;nao disponivel neste recorte;;;;;;;;;;;;;;;;;;;MCP ads_get_ad_entities
campanha;Fase 2 - [O7][DISTR];;;faixa etaria;55-64;;;;;;;;13,55;468;518;;;35;;;;6,76;0,3871;;21;0,6452;nao disponivel neste recorte;;;;;;;;;;;;;;;;;;;MCP ads_get_ad_entities
campanha;Fase 2 - [O7][DISTR];;;faixa etaria;65+;;;;;;;;25,17;992;1073;;;95;;;;8,85;0,2649;;84;0,2996;nao disponivel neste recorte;;;;;;;;;;;;;;;;;;;MCP ads_get_ad_entities
campanha;Fase 2 - [O7][DISTR];;;faixa etaria;Desconhecida;;;;;;;;0,00;0;0;;;0;;;;;;;3;0,0000;nao disponivel neste recorte;;;;;;;;;;;;;;;;;;;MCP ads_get_ad_entities
campanha;Fase 1 - [O7][DISTR];;;genero;Feminino;;;;;;;;17,27;794;810;;;52;;;;6,42;0,3321;;25;0,6908;nao disponivel neste recorte;;;;;;;;;;;;;;;;;;;MCP ads_get_ad_entities
campanha;Fase 1 - [O7][DISTR];;;genero;Masculino;;;;;;;;39,99;1098;1193;;;105;;;;8,80;0,3809;;58;0,6895;nao disponivel neste recorte;;;;;;;;;;;;;;;;;;;MCP ads_get_ad_entities
campanha;Fase 1 - [O7][DISTR];;;genero;Desconhecido;;;;;;;;0,24;8;9;;;2;;;;22,22;0,1200;;1;0,2400;nao disponivel neste recorte;;;;;;;;;;;;;;;;;;;MCP ads_get_ad_entities
campanha;Fase 2 - [O7][DISTR];;;genero;Feminino;;;;;;;;31,89;1271;1312;;;106;;;;8,08;0,3008;;91;0,3504;nao disponivel neste recorte;;;;;;;;;;;;;;;;;;;MCP ads_get_ad_entities
campanha;Fase 2 - [O7][DISTR];;;genero;Masculino;;;;;;;;23,31;686;781;;;66;;;;8,45;0,3532;;40;0,5827;nao disponivel neste recorte;;;;;;;;;;;;;;;;;;;MCP ads_get_ad_entities
campanha;Fase 2 - [O7][DISTR];;;genero;Desconhecido;;;;;;;;0,16;5;5;;;0;;;;0,00;;;3;0,0533;nao disponivel neste recorte;;;;;;;;;;;;;;;;;;;MCP ads_get_ad_entities
campanha;Fase 1 - [O7][DISTR];;;posicionamento;Facebook Reels;;;;;;;;12,79;255;297;;;36;;;;12,12;0,3553;;1;12,7900;nao disponivel neste recorte;;;;;;;;;;;;;;;;;;;MCP ads_get_ad_entities
campanha;Fase 1 - [O7][DISTR];;;posicionamento;Facebook Stories;;;;;;;;24,94;816;838;;;77;;;;9,19;0,3239;;70;0,3563;nao disponivel neste recorte;;;;;;;;;;;;;;;;;;;MCP ads_get_ad_entities
campanha;Fase 1 - [O7][DISTR];;;posicionamento;Feed (FB+IG);;;;;;;;14,79;267;313;;;38;;;;12,14;0,3892;;6;2,4650;nao disponivel neste recorte;;;;;;;;;;;;;;;;;;;MCP ads_get_ad_entities
campanha;Fase 1 - [O7][DISTR];;;posicionamento;Instagram Reels;;;;;;;;0,48;71;73;;;3;;;;4,11;0,1600;;1;0,4800;nao disponivel neste recorte;;;;;;;;;;;;;;;;;;;MCP ads_get_ad_entities
campanha;Fase 1 - [O7][DISTR];;;posicionamento;Instagram Stories;;;;;;;;4,50;480;491;;;5;;;;1,02;0,9000;;6;0,7500;nao disponivel neste recorte;;;;;;;;;;;;;;;;;;;MCP ads_get_ad_entities
campanha;Fase 2 - [O7][DISTR];;;posicionamento;Facebook Reels;;;;;;;;8,63;605;676;;;31;;;;4,59;0,2784;;9;0,9589;nao disponivel neste recorte;;;;;;;;;;;;;;;;;;;MCP ads_get_ad_entities
campanha;Fase 2 - [O7][DISTR];;;posicionamento;Facebook Stories;;;;;;;;37,13;1164;1210;;;121;;;;10,00;0,3069;;114;0,3257;nao disponivel neste recorte;;;;;;;;;;;;;;;;;;;MCP ads_get_ad_entities
campanha;Fase 2 - [O7][DISTR];;;posicionamento;Feed (FB+IG);;;;;;;;6,66;108;132;;;16;;;;12,12;0,4163;;7;0,9514;nao disponivel neste recorte;;;;;;;;;;;;;;;;;;;MCP ads_get_ad_entities
campanha;Fase 2 - [O7][DISTR];;;posicionamento;Instagram Reels;;;;;;;;1,29;40;42;;;1;;;;2,38;1,2900;;1;1,2900;nao disponivel neste recorte;;;;;;;;;;;;;;;;;;;MCP ads_get_ad_entities
campanha;Fase 2 - [O7][DISTR];;;posicionamento;Instagram Stories;;;;;;;;1,65;38;38;;;3;;;;7,89;0,5500;;3;0,5500;nao disponivel neste recorte;;;;;;;;;;;;;;;;;;;MCP ads_get_ad_entities
campanha;Fase 1 - [O7][DISTR];;;plataforma;Facebook;;;;;;;;50,84;1236;1371;;37,08;149;;;;10,87;0,3412;;73;0,6964;nao disponivel neste recorte;;;;;;;;;;;;;;;;;;;MCP ads_get_ad_entities
campanha;Fase 1 - [O7][DISTR];;;plataforma;Instagram;;;;;;;;6,66;636;641;;10,39;10;;;;1,56;0,6660;;11;0,6055;nao disponivel neste recorte;;;;;;;;;;;;;;;;;;;MCP ads_get_ad_entities
campanha;Fase 2 - [O7][DISTR];;;plataforma;Facebook;;;;;;;;51,78;1837;2007;;25,80;168;;;;8,37;0,3082;;127;0,4077;nao disponivel neste recorte;;;;;;;;;;;;;;;;;;;MCP ads_get_ad_entities
campanha;Fase 2 - [O7][DISTR];;;plataforma;Instagram;;;;;;;;3,58;88;91;;39,34;4;;;;4,40;0,8950;;7;0,5114;nao disponivel neste recorte;;;;;;;;;;;;;;;;;;;MCP ads_get_ad_entities
consolidado;Fase 1 + Fase 2;;;total do periodo;23/07/2026 a 29/07/2026;;;;;;;;112,86;3629;4110;1,1325;27,46;331;320;14;312;8,05;0,3410;;218;0,5177;11;10,2600;5,05;nao aplicavel (destino = perfil do Instagram, sem site);1384;34;2;3;4;3963;321;245;194;145;136;369;;;;calculado (alcance deduplicado vem do nivel conta no MCP)
